Title,Company,Location,Salary,Summary,Is Urgent,Date
Web developer,Tegh Communications Ltd.,"Delta, BC",$32.30 an hour,Research and evaluate a variety of interactive media software products.Prepare mock-ups and storyboards.Consult with clients to develop and document Website…,,5
Senior Front End Developer,Unchained Tech,"Remote in Vancouver, BC","$100,000 - $140,000 a year",We're looking for a self-organised front-end developer with experience working remotely with high performance teams.All code is versioned in GitHub.,,6
Senior Front End Engineer - Vancouver Canada,ARM Treasure Data,"Remote in Vancouver, BC",,"We're looking for front-end engineers to build their careers in engineering.We build and support a suite of React web apps, a common design system, full-stack…",,13
Full Stack Developer,Synic Software Inc.,"Vancouver, BC","$40,000 - $45,000 a year","1+ years experience in front and back-end roles.Front and back end development for assigned projects.Front-end Languages: HTML5, CSS3, JavaScript.",Urgently hiring,3
Web developer,Miku Restaurant Vancouver Ltd.,"Vancouver, BC",$25 - $29 an hour,"Source, select and organize information for inclusion and design the appearance, layout and flow of the Website.",,30
Web developer,Miku Restaurant Vancouver Ltd.,"Vancouver, BC",$25 - $29 an hour,"Source, select and organize information for inclusion and design the appearance, layout and flow of the Website.",,30
"Product Developer, Bags",Lululemon,"Vancouver, BC",,"Strong applied comprehension of end to end product life cycle.From concept through to pre-production stage, Product Development are the front-line regarding…",,17
Software Developer,UniUni (Uni Express Inc.),"Burnaby, BC",,"Can balance multiple concurrent projects to shift gears from back-end to front-end.In this role, you will be supporting the team to design, build and optimize…",Urgently hiring,
Implementation Developer,Aimsio,"Vancouver, BC",,"Experience working with SQL queries and front-end programming (e.g. JavaScript, HTML/CSS).A technical background with front-end coding experience using…",,5
Junior Java Developer,Global Relay,"Hybrid remote in Vancouver, BC",,Work as part of an agile development team to write clear and maintainable code for enterprise services.Write unit and integration tests for your code.,,30
Senior Front End Engineer,Thinkific,"Remote in Vancouver, BC",,"Have 5+ years of experience in a front end role, with 2-3 of those years at a senior level.In this role, you'll work closely with your Engineering Manager,…",,4
Lead Front End Developer,Strata Identity,"Remote in Vancouver, BC","$130,000 - $150,000 a year","Experience leading and mentoring an engineering team in front end application design, patterns, and practices.Job Types: Full-time, Permanent.",,5
Software Development Engineer,Amazon Dev Centre Canada ULC,"Vancouver, BC+23 locations",,A degree in Computer Science or related field (or 3+ years of industry experience) or equivalent experience.Strong background in computer science basics (data…,,
Software Developer,BOEING,"Remote in Richmond, BC",,"Collaborate with team members, Product Owner, and Scrum Master to ensure that the software meets the business requirements.Expert in Java and/or Python.",,4
Intermediate Frontend Developer,Railtown AI Technologies,"Hybrid remote in Vancouver, BC",,"As an Intermediate Software Developer, you’ll have shared responsibility for building a platform of applications and frameworks used by developers and software…",,30
Front End Developer,WiderFunnel,"Remote in Vancouver, BC",,"3+ year front end frameworks such as ReactJS, VueJS.Support Widerfunnel’s A/B testing projects by developing across the entire client web stack from front-end…",,21
Web Developer Intern,Tian'en Consulting Group Ltd.,"Vancouver, BC",$18 an hour,"Knowledge in HTML5, CSS3, JavaScript/TypeScript, VueJS and NodeJS.Experience working with WordPress programming.Manage and optimize website performance.",,5
Engineering Manager - Frontend,Canada Drives,"Remote in Vancouver, BC",,Be an important part of building the technology that provides customers with a 100% online purchasing experience-from start to finish-including delivery right…,,7
Freelance Senior Front End Developer (1-month contract),Thinkingbox,"Vancouver, BC",,"Excellent front end web development skills (Javascript / HTML / CSS).You understand how a website functions across the stack, from UI and user interactions to…",,6
Developer,Canucks,"Vancouver, BC",,They will act as support liaison between CSE and NHL/BAMTECH on all digital fronts and maintain back-end infrastructure.Source control management using Git.,,8
